method,model,execFolder,round,value
SSMC,hier.HierarchicalRockets$Builder,exec_43,12,240.70630642209318
SSMC,hier.HierarchicalRockets$Builder,exec_43,13,475.1424984677506
SSMC,hier.HierarchicalRockets$Builder,exec_43,14,948.0216784335447
SSMC,hier.HierarchicalRockets$Builder,exec_43,15,1888.7338252468248
SSMC,ode.MRNATransfection$Builder,exec_22,1,3.2973995376283827
SSMC,ode.MRNATransfection$Builder,exec_22,2,6.5521921221921255
SSMC,ode.MRNATransfection$Builder,exec_22,3,4.692785193005649
SSMC,ode.MRNATransfection$Builder,exec_22,4,4.1281523672228815
SSMC,ode.MRNATransfection$Builder,exec_22,5,7.4939225038587125
SSMC,ode.MRNATransfection$Builder,exec_22,6,11.683831354761132
SSMC,ode.MRNATransfection$Builder,exec_22,7,25.420686588797153
SSMC,ode.MRNATransfection$Builder,exec_22,8,49.76174853821856
SSMC,ode.MRNATransfection$Builder,exec_22,9,79.67814110955085
SSMC,ode.MRNATransfection$Builder,exec_22,10,139.98654038781675
SSMC,ode.MRNATransfection$Builder,exec_22,11,293.1715236488986
SSMC,ode.MRNATransfection$Builder,exec_22,12,451.26606424062754
SSMC,ode.MRNATransfection$Builder,exec_22,13,802.519152285882
SSMC,ode.MRNATransfection$Builder,exec_22,14,1473.0443369721495
SSMC,ode.MRNATransfection$Builder,exec_22,15,2910.762014517869
SAIS,demos.PhylogeneticTree$Builder,exec_35,1,7.534315744088548
SAIS,demos.PhylogeneticTree$Builder,exec_35,2,15.955115209875341
SAIS,demos.PhylogeneticTree$Builder,exec_35,3,30.16222475093734
SAIS,demos.PhylogeneticTree$Builder,exec_35,4,40.32953038212008
SAIS,demos.PhylogeneticTree$Builder,exec_35,5,22.27836113442455
SAIS,demos.PhylogeneticTree$Builder,exec_35,6,64.23459933377157
SAIS,demos.PhylogeneticTree$Builder,exec_35,7,71.77533173639044
SAIS,demos.PhylogeneticTree$Builder,exec_35,8,66.02557323874643
SAIS,demos.PhylogeneticTree$Builder,exec_35,9,97.61042255426423
SAIS,demos.PhylogeneticTree$Builder,exec_35,10,483.46148822747443
SAIS,demos.PhylogeneticTree$Builder,exec_35,11,578.7295813622934
SAIS,demos.PhylogeneticTree$Builder,exec_35,12,964.1467358205734
SAIS,demos.PhylogeneticTree$Builder,exec_35,13,2082.8003280151056
SAIS,demos.PhylogeneticTree$Builder,exec_35,14,2602.0368384499925
SAIS,demos.PhylogeneticTree$Builder,exec_35,15,6055.706238481341
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,1,4.319742830925694
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,2,9.328960006894885
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,3,14.518599780121646
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,4,16.642671862640984
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,5,38.0928813039505
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,6,57.58755337726064
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,7,127.86135832156285
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,8,215.16120292540992
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,9,430.42988130287154
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,10,840.5887257132056
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,11,1697.5958017453245
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,12,3427.38896834096
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,13,6952.08016504321
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,14,13627.712126492492
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,15,27134.2672594525
SSMC,demos.DiscreteMultimodal$Builder,exec_1,1,60.53048765823305
SSMC,demos.DiscreteMultimodal$Builder,exec_1,2,148.53483734789043
SSMC,demos.DiscreteMultimodal$Builder,exec_1,3,346.91440592102833
SSMC,demos.DiscreteMultimodal$Builder,exec_1,4,647.7268361752091
SSMC,demos.DiscreteMultimodal$Builder,exec_1,5,1021.2726491945075
SSMC,demos.DiscreteMultimodal$Builder,exec_1,6,1557.4752660151066
SSMC,demos.DiscreteMultimodal$Builder,exec_1,7,3598.2349761690193
SSMC,demos.DiscreteMultimodal$Builder,exec_1,8,7323.125566574066
SSMC,demos.DiscreteMultimodal$Builder,exec_1,9,15320.586471596947
SSMC,demos.DiscreteMultimodal$Builder,exec_1,10,26959.47942263408
SSMC,demos.DiscreteMultimodal$Builder,exec_1,11,54175.79266334732
SSMC,demos.DiscreteMultimodal$Builder,exec_1,12,103688.55075260288
SSMC,demos.DiscreteMultimodal$Builder,exec_1,13,218138.07931991733
SSMC,demos.DiscreteMultimodal$Builder,exec_1,14,419148.94276019756
SSMC,demos.DiscreteMultimodal$Builder,exec_1,15,840484.7871380128
SAIS,ode.MRNATransfection$Builder,exec_25,1,3.556981575291805
SAIS,ode.MRNATransfection$Builder,exec_25,2,13.17698048684938
SAIS,ode.MRNATransfection$Builder,exec_25,3,10.48409928485513
SAIS,ode.MRNATransfection$Builder,exec_25,4,9.614583986303524
SAIS,ode.MRNATransfection$Builder,exec_25,5,11.116667414514865
SAIS,ode.MRNATransfection$Builder,exec_25,6,14.103940340795186
SAIS,ode.MRNATransfection$Builder,exec_25,7,52.01682501309029
SAIS,ode.MRNATransfection$Builder,exec_25,8,63.84450979208673
SAIS,ode.MRNATransfection$Builder,exec_25,9,108.0764002759176
SAIS,ode.MRNATransfection$Builder,exec_25,10,181.1424094607857
SAIS,ode.MRNATransfection$Builder,exec_25,11,320.5797986293668
SAIS,ode.MRNATransfection$Builder,exec_25,12,579.6599013096013
SAIS,ode.MRNATransfection$Builder,exec_25,13,1478.605808283248
SAIS,ode.MRNATransfection$Builder,exec_25,14,2060.2809816114955
SAIS,ode.MRNATransfection$Builder,exec_25,15,2115.1777021158837
SSMC,demos.UnidentifiableProduct$Builder,exec_3,1,11.8529241023261
SSMC,demos.UnidentifiableProduct$Builder,exec_3,2,9.126729752952793
SSMC,demos.UnidentifiableProduct$Builder,exec_3,3,9.889634945096358
SSMC,demos.UnidentifiableProduct$Builder,exec_3,4,14.908367496546129
SSMC,demos.UnidentifiableProduct$Builder,exec_3,5,23.487044250994387
SSMC,demos.UnidentifiableProduct$Builder,exec_3,6,36.90011617401803
SSMC,demos.UnidentifiableProduct$Builder,exec_3,7,68.59227746553154
SSMC,demos.UnidentifiableProduct$Builder,exec_3,8,132.96604545857306
SSMC,demos.UnidentifiableProduct$Builder,exec_3,9,254.38492409258913
SSMC,demos.UnidentifiableProduct$Builder,exec_3,10,486.9098858740079
SSMC,demos.UnidentifiableProduct$Builder,exec_3,11,947.8869363224187
SSMC,demos.UnidentifiableProduct$Builder,exec_3,12,1940.2323344451388
SSMC,demos.UnidentifiableProduct$Builder,exec_3,13,3767.9917926481703
SSMC,demos.UnidentifiableProduct$Builder,exec_3,14,7466.138221495638
SSMC,demos.UnidentifiableProduct$Builder,exec_3,15,14806.122345002765
SAIS,demos.AnnealedMVN$Builder,exec_2,1,16.466649046352394
SAIS,demos.AnnealedMVN$Builder,exec_2,2,22.849613141617635
SAIS,demos.AnnealedMVN$Builder,exec_2,3,34.16350357281765
SAIS,demos.AnnealedMVN$Builder,exec_2,4,75.46405654137405
SAIS,demos.AnnealedMVN$Builder,exec_2,5,153.19396704818718
SAIS,demos.AnnealedMVN$Builder,exec_2,6,311.19426268046124
SAIS,demos.AnnealedMVN$Builder,exec_2,7,595.436151223534
