method,model,execFolder,round,chain,beta,isAdapt,value
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,0,0,1.0,true,0.8974358974358974
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,0,1,0.8888888888888888,true,1.0
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,0,2,0.7777777777777778,true,0.3333333333333333
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,0,3,0.6666666666666666,true,0.9166666666666667
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,0,4,0.5555555555555556,true,1.0
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,0,5,0.4444444444444444,true,0.2083333333333334
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,0,6,0.3333333333333333,true,0.7619047619047619
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,0,7,0.2222222222222222,true,1.0
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,0,8,0.1111111111111111,true,-0.5555555555555556
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,0,9,0.0,true,-0.3333333333333333
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,1,0,1.0,true,NaN
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,1,1,0.9967425585065319,true,NaN
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,1,2,0.9739601918538469,true,NaN
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,1,3,0.912121092996055,true,NaN
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,1,4,0.734667334321343,true,NaN
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,1,5,0.7122089499806441,true,1.0
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,1,6,0.433339681191427,true,0.6681818181818181
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,1,7,0.3959404163082281,true,0.09387755102040811
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,1,8,0.37837225826673093,true,0.8835820895522389
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,1,9,0.0,true,-0.3230769230769231
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,2,0,1.0,true,NaN
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,2,1,0.5615966954884186,true,0.3374999999999995
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,2,2,0.46920598078516546,true,0.6096774193548388
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,2,3,0.4338188270791738,true,0.3847826086956521
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,2,4,0.38770127033474056,true,0.6154411764705884
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,2,5,0.3307572532759604,true,0.46384615384615374
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,2,6,0.2548333621788686,true,0.2210526315789473
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,2,7,0.1703939634797051,true,0.23888888888888876
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,2,8,0.08344689635967915,true,-0.22500000000000006
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,2,9,0.0,true,0.04090909090909092
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,3,0,1.0,true,NaN
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,3,1,0.5038028598101373,true,0.2592279217345321
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,3,2,0.46187988682912035,true,0.42989898989899006
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,3,3,0.422655677984353,true,0.6487315010570825
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,3,4,0.39372984446801196,true,0.6979104818451701
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,3,5,0.2808361325950195,true,0.6278869778869779
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,3,6,0.22480384774822904,true,0.032758620689655155
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,3,7,0.1710673036554884,true,-0.3660651920838186
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,3,8,0.11497393013682479,true,-0.16249999999999995
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,3,9,0.0,true,-0.306997455470738
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,4,0,1.0,true,NaN
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,4,1,0.7372734423584859,true,-0.06250000000000008
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,4,2,0.5126873943338245,true,0.02203666499246559
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,4,3,0.44074910407335455,true,0.21487603305785136
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,4,4,0.3618423221118429,true,0.407864238410596
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,4,5,0.3170138497664028,true,0.5598158713692948
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,4,6,0.26351757779678103,true,0.36731796672263783
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,4,7,0.19001611934759205,true,-0.10551948051948057
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,4,8,0.1118297862739706,true,-0.260724233983287
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,4,9,0.0,true,-0.1419421487603306
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,5,0,1.0,true,-0.025320512820512574
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,5,1,0.5078061760336825,true,0.6037787088764746
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,5,2,0.4375677830631067,true,0.5036065190268245
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,5,3,0.39689919595940026,true,0.2922040971168438
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,5,4,0.35963464492336705,true,0.30710114942528743
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,5,5,0.3073206686912924,true,0.4325992897158863
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,5,6,0.24892249667389235,true,0.05998567335243555
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,5,7,0.16206227324565964,true,-0.004908688134860562
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,5,8,0.0779662342278496,true,-0.18420897284533647
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,5,9,0.0,true,0.1027714932126697
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,6,0,1.0,true,-0.01886867088607644
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,6,1,0.5425314722388024,true,0.299251965391045
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,6,2,0.4471439705621697,true,0.502584920009013
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,6,3,0.40361988629551365,true,0.42473601181108217
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,6,4,0.35335221547395257,true,0.5118970189997344
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,6,5,0.31447513008240024,true,0.4393155941002173
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,6,6,0.235210499554756,true,0.0855080244122965
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,6,7,0.1595722041823832,true,-0.008920358836827949
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,6,8,0.07497300466883162,true,-0.005396028635268577
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,6,9,0.0,true,0.08250216200634192
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,7,0,1.0,true,-0.0024108222490934477
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,7,1,0.5338905849741128,true,0.5158610640198331
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,7,2,0.4475700771574275,true,0.526787702368729
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,7,3,0.39875666570621887,true,0.523573752092008
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,7,4,0.34612840465337547,true,0.31865483498146835
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,7,5,0.29548562228049036,true,0.3421128331259521
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,7,6,0.23009077438770517,true,0.11553941646745401
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,7,7,0.16742169082183322,true,-0.02295517585836879
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,7,8,0.07924548980994481,true,-0.0016953703729518797
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,7,9,0.0,true,-0.03220814777279398
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,8,0,1.0,true,0.41686061272850244
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,8,1,0.6057434896210819,true,0.31499896343286693
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,8,2,0.46279225871713403,true,0.5054909887180687
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,8,3,0.4138817785825963,true,0.5226957882953317
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,8,4,0.3677147749017248,true,0.5082324497514846
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,8,5,0.32180902704568926,true,0.35009837224297574
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,8,6,0.2556266396211962,true,0.2457835107786805
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,8,7,0.17587674208037024,true,0.031695596030143026
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,8,8,0.09328743051796477,true,-0.0745760805889473
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,8,9,0.0,true,0.045152129862056085
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,9,0,1.0,true,0.080609893956997
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,9,1,0.542731902248177,true,0.4282686365610726
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,9,2,0.4706160078627635,true,0.4388984918866789
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,9,3,0.4146862609657353,true,0.49560228033721
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,9,4,0.36161870726651363,true,0.46611686107754696
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,9,5,0.30637457735024826,true,0.2762278704873528
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,9,6,0.24069039976174872,true,0.1576725667256548
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,9,7,0.16530677671303554,true,0.06827849875284821
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,9,8,0.08294872711088695,true,-0.010610720652734157
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,9,9,0.0,true,-0.023535407209861935
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,10,0,1.0,true,0.29074531610813525
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,10,1,0.5728276088042873,true,0.30939190369049085
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,10,2,0.46322348720629364,true,0.5071965294357476
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,10,3,0.40561318754490955,true,0.49881594848917726
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,10,4,0.35785409378466565,true,0.4919245862318434
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,10,5,0.3035085360962612,true,0.35161727172055274
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,10,6,0.2426631080502931,true,0.14822604121304028
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,10,7,0.1685139141577991,true,0.029568696887501657
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,10,8,0.08459679767428964,true,-0.03370367514173781
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,10,9,0.0,true,0.017731277210855025
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,11,0,1.0,false,0.06455968928410079
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_20,11,1,0.537077498901932,false,0.4060617637160168
