method,model,execFolder,isAdapt,round,chain,value
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,2,1.3519918658198623E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,3,2.2528279398517493E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,4,2.8202279497618864E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,5,1.4545055616503106E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,6,1.1949694917605144E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,7,1.7725586894323494E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,8,0.0025143490728596098
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,9,0.009029579986622098
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,10,0.019892597253917628
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,11,0.035856315168422234
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,12,0.05715906729191157
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,13,0.07641494183438033
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,14,0.09294426377070919
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,15,0.10887285348142092
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,16,0.1259607595017226
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,17,0.14576609792808284
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,18,0.1679280798267059
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,19,0.19121185835119606
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,20,0.21589268212932178
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,21,0.24094125355160706
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,22,0.2616511554409231
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,23,0.278616679748085
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,24,0.29533083118979003
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,25,0.3152272650499836
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,26,0.335488485511073
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,27,0.357650085123203
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,28,0.388193867544403
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,29,0.43517752858558434
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,30,0.4998174300308558
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,31,0.5714688424768899
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,32,0.6405212375382248
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,33,0.710469172327856
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,34,0.8163957236379243
SSMC,ode.MRNATransfection$Builder,exec_20,true,5,35,1.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,0,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,1,2.2653789041585545E-9
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,2,7.659691716272657E-9
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,3,2.193145102050471E-8
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,4,6.271685468379178E-8
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,5,3.2506739718472673E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,6,9.706328447303182E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,7,4.911841644522313E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,8,1.4847670729272731E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,9,5.3575433172892346E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,10,2.283910115413332E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,11,8.892585730378951E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,12,0.0027770316016020287
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,13,0.006406194006709013
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,14,0.011965492311825327
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,15,0.019297504748934973
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,16,0.02663792033407231
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,17,0.03515215083665195
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,18,0.045982851776379535
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,19,0.061113607690834425
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,20,0.08186097889235869
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,21,0.09640656280947922
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,22,0.10379518663625002
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,23,0.11079860983575411
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,24,0.11898013139081301
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,25,0.12706323398015038
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,26,0.13462986383363262
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,27,0.14230168149502012
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,28,0.15071106858628627
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,29,0.15968289313470652
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,30,0.17032845865444085
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,31,0.18422810004471907
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,32,0.19517104217413606
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,33,0.20268980653350452
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,34,0.20884615960574188
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,35,0.21513329701946046
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,36,0.22162434569505066
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,37,0.22771604888578995
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,38,0.23495174104209954
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,39,0.24480747880293807
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,40,0.25884257325267007
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,41,0.2822512995813071
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,42,0.3123924498723988
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,43,0.3509300996834873
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,44,0.4002092049957213
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,45,0.46777624255791017
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,46,0.5385041646389283
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,47,0.6422754654644606
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,48,0.733799373693864
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,49,0.8371172386098503
SSMC,ode.MRNATransfection$Builder,exec_20,true,6,50,1.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,0,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,1,2.407164670251731E-10
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,2,4.1150344608198886E-10
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,3,7.015116825221815E-10
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,4,1.299891921697484E-9
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,5,2.3850965295325007E-9
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,6,4.18826135488411E-9
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,7,1.2219918679827469E-8
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,8,2.6488535459987536E-8
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,9,4.9466808397173194E-8
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,10,1.2445072080620884E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,11,3.171676570402969E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,12,6.629634551253307E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,13,2.46203646936646E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,14,5.736607577039478E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,15,9.13996647457021E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,16,1.866733444889197E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,17,3.395261513264777E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,18,8.156243361170431E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,19,1.7455247877673632E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,20,3.436210728228789E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,21,7.311723957883953E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,22,0.002001939305604521
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,23,0.0036840141139477135
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,24,0.00582998745009666
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,25,0.010562203985441557
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,26,0.01822425006004303
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,27,0.0253245498596626
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,28,0.03268528780841856
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,29,0.039837454161393615
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,30,0.048279662333141925
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,31,0.06039969948257998
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,32,0.07852912169929532
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,33,0.09323803055319572
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,34,0.10353014945810263
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,35,0.10982896628519241
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,36,0.11567814730349203
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,37,0.12102822565824893
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,38,0.12577380842082514
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,39,0.12966714928055742
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,40,0.1329408365531736
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,41,0.13622492387008026
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,42,0.1394817893848112
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,43,0.14275895404358022
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,44,0.14605248318807007
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,45,0.1494143543303699
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,46,0.15294936825873762
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,47,0.1566341179914703
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,48,0.16043774376054346
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,49,0.16419552276355065
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,50,0.1682284142429977
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,51,0.17298042583230808
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,52,0.17838445186362228
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,53,0.18433968782336674
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,54,0.19101752147727835
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,55,0.19841856046429243
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,56,0.20711096863443787
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,57,0.21775539501136382
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,58,0.23302798124014878
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,59,0.2532335072520831
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,60,0.27999847057497707
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,61,0.31097774103547193
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,62,0.3374618589505557
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,63,0.3680409812207074
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,64,0.4051686787498619
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,65,0.4481387942137616
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,66,0.4969706108219446
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,67,0.5604967145890706
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,68,0.6451567274867964
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,69,0.7227305138287188
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,70,0.7974973199900792
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,71,0.8900221548302951
SSMC,ode.MRNATransfection$Builder,exec_20,true,7,72,1.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,0,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,1,4.621098258623437E-12
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,2,1.100457149207095E-11
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,3,2.3890285548966218E-11
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,4,4.801810627793285E-11
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,5,8.812789952759458E-11
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,6,1.4895953114657497E-10
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,7,2.3525286698349767E-10
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,8,8.690147611899067E-10
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,9,1.8000180507795875E-9
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,10,2.8052302623783053E-9
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,11,8.853375526278862E-9
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,12,2.2148387786949957E-8
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,13,8.717483932124427E-8
