method,model,execFolder,round,iteration,annealingParameter,logNormalization,deltaIterations,deltaAnnealingParameter
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,7,0.039756230001656685,-35.84468523205838,1,0.013909397118070842
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,8,0.05857965602919743,-53.57005743662897,1,0.018823426027540745
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,9,0.08245487334778719,-77.07547241029332,1,0.023875217318589756
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,10,0.10860887290283384,-106.24696229390129,1,0.02615399955504666
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,11,0.1373680277750688,-137.61517140684612,1,0.028759154872234946
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,12,0.16469746176703653,-171.59978990245338,1,0.027329433991967744
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,13,0.1874534377245904,-202.76339055098865,1,0.022755975957553853
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,14,0.2065486452364006,-227.7108119848668,1,0.019095207511810208
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,15,0.2294249718972029,-248.22547441129745,1,0.022876326660802304
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,16,0.2545212603319754,-272.4430049123421,1,0.025096288434772518
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,17,0.2842625165543176,-298.54500661805423,1,0.029741256222342194
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,18,0.3249963420278705,-328.6883423491456,1,0.040733825473552865
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,19,0.3813802542663828,-369.31719766217367,1,0.0563839122385123
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,20,0.43236857631755576,-425.0186254431158,1,0.050988322051172985
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,21,0.47448496671433515,-474.8640528938375,1,0.04211639039677939
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,22,0.5038541654477644,-515.6538857290329,1,0.029369198733429247
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,24,0.5639493459207323,-570.6514177261539,2,0.06009518047296791
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,26,0.6329841238700361,-630.6335646263516,2,0.0690347779493038
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,28,0.705043009705956,-703.874300766514,2,0.0720588858359199
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,30,0.7759216375302904,-762.2750305837284,2,0.0708786278243344
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,31,0.8230658817050859,-798.3219152464541,1,0.04714424417479546
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,32,0.878808366910873,-841.2998846199009,1,0.05574248520578717
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,33,0.9403677394825269,-891.606790185041,1,0.06155937257165389
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,2,0.0015866748629582454,-1.9420757746239183,2,0.0015866748629582454
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,4,0.0033999071602812095,-4.400601966133865,2,0.0018132322973229641
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,5,0.005315436223920625,-6.208082220570032,1,0.0019155290636394154
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,6,0.008472440999464833,-8.976094068026324,1,0.0031570047755442084
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,7,0.014941703137481626,-13.286836231024367,1,0.006469262138016792
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,8,0.024401378406838155,-21.56533142841715,1,0.009459675269356529
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,9,0.03607855917090567,-33.19671995943071,1,0.011677180764067513
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,10,0.04777475728379472,-47.162412753879394,1,0.01169619811288905
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,11,0.05935493804057885,-60.8772582589624,1,0.01158018075678413
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,12,0.07094217275249835,-74.15360213843138,1,0.011587234711919504
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,13,0.08355996175727605,-87.18849616897086,1,0.012617789004777696
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,14,0.0982249505545155,-101.2113589584522,1,0.014664988797239445
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,15,0.11470852078744925,-117.24013081532937,1,0.01648357023293376
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,16,0.1330893138851358,-134.9572060007448,1,0.01838079309768656
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,17,0.14487854645547335,-154.39132093431198,1,0.011789232570337538
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,19,0.1586524424693861,-174.25877494388578,2,0.01377389601391274
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,22,0.19344248313094858,-202.25714070733324,3,0.034790040661562494
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,24,0.22639453007809673,-232.28297416288063,2,0.03295204694714815
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,25,0.24008396576074315,-249.03701826733842,1,0.013689435682646411
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,27,0.2650190883517253,-274.56199989834346,2,0.02493512259098213
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,29,0.30493381157948046,-301.0934862652271,2,0.03991472322775519
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,30,0.33726686670492917,-325.14227570710324,1,0.032333055125448706
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,31,0.37356353010332605,-355.9734661797862,1,0.03629666339839688
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,32,0.40432378957585313,-390.3701941092141,1,0.030760259472527085
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,34,0.4588073754082938,-445.4427105806425,2,0.05448358583244067
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,36,0.51986416955047,-497.6121071886062,2,0.061056794142176185
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,38,0.5868080368145983,-556.9866402247194,2,0.06694386726412827
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,40,0.6624207568149014,-624.6329192737463,2,0.07561272000030317
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,42,0.746605247923146,-697.3095213876203,2,0.08418449110824455
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,44,0.8065306561415017,-765.9368098711514,2,0.05992540821835568
SSMC,demos.PhylogeneticTree$Builder,exec_30,6,47,0.8967007375411784,-840.1124449812139,3,0.09017008139967675
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,1,8.133907261370988E-4,-0.8881047050008273,1,8.133907261370988E-4
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,3,0.0017124279104517698,-2.4204194696322276,2,8.99037184314671E-4
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,5,0.002732028980072993,-3.8887503617435963,2,0.001019601069621223
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,7,0.004210714124382759,-5.63371933149922,2,0.0014786851443097664
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,9,0.0064199695941496975,-8.076036812075442,2,0.0022092554697669383
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,11,0.00988702498835219,-11.341997495940591,2,0.003467055394202492
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,13,0.015144026399175052,-16.47692968929215,2,0.005257001410822863
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,15,0.022229826732438607,-23.33381567302675,2,0.007085800333263555
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,17,0.030226887723281443,-31.571645039203823,2,0.007997060990842835
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,20,0.04523902105090001,-45.755503484770905,3,0.015012133327618568
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,22,0.05711761278868702,-57.50997007208116,2,0.011878591737787006
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,24,0.06923373021646291,-69.7464763999173,2,0.012116117427775894
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,26,0.08270075717946673,-82.15751905464005,2,0.013467026963003823
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,28,0.09730516369906464,-95.70234564765244,2,0.014604406519597907
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,30,0.11353044156000731,-110.25233044725425,2,0.016225277860942675
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,32,0.13127628635556066,-126.21571557090759,2,0.017745844795553342
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,34,0.15009848256357836,-143.53144362599338,2,0.0188221962080177
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,37,0.18004222881901505,-169.96371611417027,3,0.029943746255436693
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,40,0.21233407139982646,-198.90323081151016,3,0.032291842580811414
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,43,0.2472382327735584,-229.17079593715005,3,0.03490416137373192
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,46,0.28788235513412863,-263.7608215046912,3,0.040644122360570245
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,49,0.34104498955401147,-307.21197819626326,3,0.05316263441988284
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,51,0.38418265711989497,-343.1917289814177,2,0.0431376675658835
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,53,0.43003979570300416,-382.6033558104989,2,0.04585713858310919
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,55,0.4794563156457331,-424.9648885457055,2,0.04941651994272894
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,57,0.5310705745633931,-469.3663681102222,2,0.05161425891766003
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,60,0.6147671181913135,-539.4004103895119,3,0.08369654362792034
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,63,0.7152020906869037,-621.6835140798032,3,0.10043497249559019
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,66,0.8217311343506475,-715.5430419583298,3,0.10652904366374383
SSMC,demos.PhylogeneticTree$Builder,exec_30,7,69,0.9248855839579746,-805.6055353258388,3,0.10315444960732711
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,1,3.3837521410477186E-4,-0.40114526096264047,1,3.3837521410477186E-4
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,4,0.0010065032268376168,-1.6366823201931329,3,6.68128012732845E-4
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,7,0.0018417600408831745,-3.0602472220285915,3,8.352568140455577E-4
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,10,0.0029973790453161585,-4.792584581987309,3,0.001155619004432984
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,13,0.004476826634432864,-6.750568098447246,3,0.0014794475891167051
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,17,0.0073898212836223465,-10.152858336165854,4,0.002912994649189483
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,21,0.011540115108278673,-14.975296129913144,4,0.004150293824656326
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,24,0.015886653887751113,-19.54520319229042,3,0.00434653877947244
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,27,0.022248183549197352,-25.972235221344228,3,0.006361529661446239
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,30,0.03132469110043211,-35.077195058611274,3,0.009076507551234757
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,32,0.03800230379617156,-42.277061150389414,2,0.006677612695739452
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,34,0.04477639085742009,-49.38402664382462,2,0.006774087061248532
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,37,0.0541689700620927,-59.389522162355306,3,0.00939257920467261
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,40,0.06307376903653089,-68.54504154186999,3,0.008904798974438188
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,44,0.07613573629426934,-80.81631543344528,4,0.01306196725773845
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,48,0.09153894729293666,-95.12410993881632,4,0.015403210998667316
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,52,0.1125020303037746,-113.93975410508637,4,0.02096308301083795
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,56,0.1365192595395521,-135.65821253726253,4,0.024017229235777496
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,59,0.1574011676846431,-154.1639118568866,3,0.020881908145091
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,62,0.1837118859308582,-176.70397643496258,3,0.026310718246215087
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,65,0.21282360679118886,-202.63784245424276,3,0.029111720860330675
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,68,0.24449709275266324,-230.85824453243117,3,0.031673485961474374
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,72,0.29199123856322573,-271.9192825438458,4,0.047494145810562494
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,75,0.3353061184989654,-309.3754267893815,3,0.04331487993573968
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,78,0.3770800643373302,-346.5422709155137,3,0.0417739458383648
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,81,0.42098042944492886,-385.4900399890186,3,0.04390036510759865
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,84,0.47180954245358536,-428.54411493625935,3,0.0508291130086565
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,88,0.5540289313715904,-495.4978319633648,4,0.08221938891800501
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,91,0.6305377189713086,-560.5933360530449,3,0.07650878759971824
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,94,0.712094670261992,-630.0078465162428,3,0.08155695129068341
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,97,0.8032857869614602,-705.72495902842,3,0.09119111669946822
SSMC,demos.PhylogeneticTree$Builder,exec_30,8,100,0.9132981594483333,-796.8042202868508,3,0.11001237248687301
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,1,1.2372682647296334E-4,-0.13845828160035545,1,1.2372682647296334E-4
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,6,9.107535247949162E-4,-1.612917821435337,5,7.870266983219529E-4
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,11,0.0017827685478505589,-3.249876849377774,5,8.720150230556426E-4
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,16,0.0028500142779705915,-4.999644645947119,5,0.0010672457301200327
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,21,0.004357064705013576,-7.160088544323274,5,0.0015070504270429845
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,25,0.006470827902687371,-9.79196165650563,4,0.002113763197673795
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,28,0.008707557116711716,-12.539920648540658,3,0.002236729214024345
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,31,0.011351864806126365,-15.676884060373737,3,0.002644307689414649
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,35,0.015199014202516452,-20.108154186719915,4,0.0038471493963900868
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,39,0.019624097898430927,-24.96626038446881,4,0.004425083695914475
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,43,0.025411915497955573,-30.950645937945986,4,0.005787817599524646
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,46,0.030171772051084542,-36.02653596100245,3,0.0047598565531289695
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,50,0.036986053064950376,-42.94005608220815,4,0.006814281013865834
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,54,0.04404853068786713,-49.913479132055436,4,0.0070624776229167505
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,59,0.054009591270815734,-59.55897510011046,5,0.009961060582948607
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,64,0.06566190772699498,-70.38481067221383,5,0.01165231645617925
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,69,0.0794008669544308,-83.24252860904268,5,0.013738959227435815
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,74,0.09722686193367894,-99.01366785333657,5,0.01782599497924814
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,78,0.11474941851305095,-114.74451842386269,4,0.017522556579372017
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,82,0.13276856362330583,-131.3822152146448,4,0.018019145110254875
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,86,0.15215289730677928,-148.72748754860703,4,0.019384333683473448
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,90,0.17268722266142644,-167.03173382091074,4,0.020534325354647165
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,95,0.20658368889867137,-195.5094749017117,5,0.03389646623724493
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,99,0.23888794070981648,-223.78072313279844,4,0.0323042518111451
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,103,0.2741715411472978,-254.51534971673834,4,0.03528360043748133
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,108,0.3249037845908972,-298.0867833127713,5,0.05073224344359939
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,113,0.37758685838251216,-344.27539512806396,5,0.052683073791614965
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,118,0.4341368324464905,-393.4970955052168,5,0.056549974063978325
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,123,0.5017756251760654,-449.2907216019441,5,0.06763879272957496
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,128,0.5849930958054553,-520.2113351106634,5,0.08321747062938989
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,133,0.6792243203607362,-600.4651621491141,5,0.09423122455528088
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,139,0.8095640963669388,-709.8702284649595,6,0.1303397760062026
SSMC,demos.PhylogeneticTree$Builder,exec_30,9,144,0.9426932547554482,-823.4859945826848,5,0.13312915838850936
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,1,6.276913293889403E-5,-0.06428507304997311,1,6.276913293889403E-5
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,7,7.739653136088163E-4,-1.367395772284742,6,7.111961806699223E-4
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,13,0.0015278702609144812,-2.733678691651394,6,7.539049473056649E-4
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,20,0.002561592625654736,-4.347722650759817,7,0.0010337223647402549
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,27,0.003910366137846261,-6.246362928063173,7,0.0013487735121915246
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,34,0.005748379770477914,-8.663729487954527,7,0.0018380136326316531
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,41,0.008018958764675448,-11.52686842567632,7,0.002270578994197534
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,48,0.011070749146207428,-15.129917587479621,7,0.00305179038153198
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,54,0.014546869316364706,-19.112194316205347,6,0.003476120170157278
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,61,0.019259634199892652,-24.328121052605997,7,0.0047127648835279465
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,68,0.024680656449825013,-30.220989608474955,7,0.0054210222499323606
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,75,0.031032171151242925,-36.829284108602884,7,0.006351514701417912
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,81,0.03745561838674955,-43.413693991575435,6,0.006423447235506627
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,87,0.04513066770421058,-50.99287110071121,6,0.007675049317461026
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,93,0.054792039968906664,-60.17259086922799,6,0.009661372264696086
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,98,0.06432280340648382,-69.40818908693812,5,0.009530763437577153
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,104,0.07713820178315861,-81.45032233980888,6,0.012815398376674794
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,110,0.092466227032316,-95.74764950725941,6,0.015328025249157384
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,116,0.10999052496275123,-111.89040926820404,6,0.017524297930435237
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,123,0.13096273077429735,-131.49667642548053,7,0.020972205811546116
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,130,0.15393587637349726,-152.331022275056,7,0.022973145599199912
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,137,0.1802654689631022,-175.52783501312396,7,0.026329592589604933
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,143,0.20840212244045048,-200.53573771442353,6,0.028136653477348283
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,149,0.23971913414330834,-228.44332419428653,6,0.03131701170285786
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,154,0.2692169750433703,-254.2314951996859,5,0.02949784090006194
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,159,0.30480381341048157,-284.74599231724136,5,0.035586838367111295
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,164,0.3443434020622054,-319.52127574279655,5,0.0395395886517238
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,169,0.3865025711162826,-356.2950234048995,5,0.04215916905407724
SSMC,demos.PhylogeneticTree$Builder,exec_30,10,175,0.4452009223987805,-406.5792621722179,6,0.058698351282497896
