method,model,execFolder,round,value
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_34,0,3.515023764431934
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_34,1,1.870796230654567
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_34,2,2.782596836499492
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_34,3,3.727226406756941
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_34,4,2.9246573649312757
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_34,5,3.1133050575983634
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_34,6,3.038191591159959
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_34,7,2.9547185287863003
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_34,8,3.0393874850197964
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_34,9,3.0619289335860875
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_34,10,3.079569385818773
PT-10,demos.DiscreteMultimodal$Builder,exec_8,0,0.20025787484052948
PT-10,demos.DiscreteMultimodal$Builder,exec_8,1,0.5014373515456979
PT-10,demos.DiscreteMultimodal$Builder,exec_8,2,0.6969705562734214
PT-10,demos.DiscreteMultimodal$Builder,exec_8,3,0.3587269906059678
PT-10,demos.DiscreteMultimodal$Builder,exec_8,4,0.38243858735091585
PT-10,demos.DiscreteMultimodal$Builder,exec_8,5,0.3156643896311493
PT-10,demos.DiscreteMultimodal$Builder,exec_8,6,0.2741147621362148
PT-10,demos.DiscreteMultimodal$Builder,exec_8,7,0.3231590039351847
PT-10,demos.DiscreteMultimodal$Builder,exec_8,8,0.3262868692128811
PT-10,demos.DiscreteMultimodal$Builder,exec_8,9,0.3163253362230839
PT-10,demos.DiscreteMultimodal$Builder,exec_8,10,0.3275375768611062
PT-10,demos.DiscreteMultimodal$Builder,exec_8,11,0.3459763346667668
PT-20,blang.validation.internals.fixtures.Diffusion$Builder,exec_27,0,4.628977541942072
PT-20,blang.validation.internals.fixtures.Diffusion$Builder,exec_27,1,1.7735732012553047
PT-20,blang.validation.internals.fixtures.Diffusion$Builder,exec_27,2,2.657441398228432
PT-20,blang.validation.internals.fixtures.Diffusion$Builder,exec_27,3,3.2559484133253225
PT-20,blang.validation.internals.fixtures.Diffusion$Builder,exec_27,4,3.189616674911702
PT-20,blang.validation.internals.fixtures.Diffusion$Builder,exec_27,5,3.5116915135410474
PT-20,blang.validation.internals.fixtures.Diffusion$Builder,exec_27,6,3.4675169853575056
PT-20,blang.validation.internals.fixtures.Diffusion$Builder,exec_27,7,3.5711684963976245
PT-20,blang.validation.internals.fixtures.Diffusion$Builder,exec_27,8,3.3998855455958683
PT-20,blang.validation.internals.fixtures.Diffusion$Builder,exec_27,9,3.4817997487644337
PT-20,blang.validation.internals.fixtures.Diffusion$Builder,exec_27,10,3.524620793078578
SAIS,hier.HierarchicalRockets$Builder,exec_42,0,2.702304839222933
SAIS,hier.HierarchicalRockets$Builder,exec_42,1,3.9729532568032844
SAIS,hier.HierarchicalRockets$Builder,exec_42,2,7.637655073551886
SAIS,hier.HierarchicalRockets$Builder,exec_42,3,9.931956240483755
SAIS,hier.HierarchicalRockets$Builder,exec_42,4,8.204469305108873
SAIS,hier.HierarchicalRockets$Builder,exec_42,5,9.38109958260445
SAIS,hier.HierarchicalRockets$Builder,exec_42,6,13.30368537142306
SAIS,hier.HierarchicalRockets$Builder,exec_42,7,17.459319534687676
SAIS,hier.HierarchicalRockets$Builder,exec_42,8,17.829703795877645
SAIS,hier.HierarchicalRockets$Builder,exec_42,9,18.76808301095968
SAIS,hier.HierarchicalRockets$Builder,exec_42,10,20.4249097725703
SAIS,hier.HierarchicalRockets$Builder,exec_42,11,21.860652759391044
SSMC,glms.SpikeSlabClassification$Builder,exec_47,0,3.267252122327449
SSMC,glms.SpikeSlabClassification$Builder,exec_47,1,3.8292459170757978
SSMC,glms.SpikeSlabClassification$Builder,exec_47,2,5.724753906302777
SSMC,glms.SpikeSlabClassification$Builder,exec_47,3,6.4890577039193404
SSMC,glms.SpikeSlabClassification$Builder,exec_47,4,7.708438868964183
SSMC,glms.SpikeSlabClassification$Builder,exec_47,5,8.559712712595601
SSMC,glms.SpikeSlabClassification$Builder,exec_47,6,9.254227001782255
SSMC,glms.SpikeSlabClassification$Builder,exec_47,7,9.174364757052023
SSMC,glms.SpikeSlabClassification$Builder,exec_47,8,9.346662302354646
SSMC,glms.SpikeSlabClassification$Builder,exec_47,9,9.230011627255655
SSMC,glms.SpikeSlabClassification$Builder,exec_47,10,9.275684264243775
SSMC,glms.SpikeSlabClassification$Builder,exec_47,11,9.284708346239658
SSMC,hier.HierarchicalRockets$Builder,exec_43,0,3.870810995235602
SSMC,hier.HierarchicalRockets$Builder,exec_43,1,8.301587607737064
SSMC,hier.HierarchicalRockets$Builder,exec_43,2,11.321642561866902
SSMC,hier.HierarchicalRockets$Builder,exec_43,3,12.898095588414037
SSMC,hier.HierarchicalRockets$Builder,exec_43,4,17.69748415979611
SSMC,hier.HierarchicalRockets$Builder,exec_43,5,19.775053373442226
SSMC,hier.HierarchicalRockets$Builder,exec_43,6,21.25804608055838
SSMC,hier.HierarchicalRockets$Builder,exec_43,7,21.7022895264701
SSMC,hier.HierarchicalRockets$Builder,exec_43,8,21.971193341196987
SSMC,hier.HierarchicalRockets$Builder,exec_43,9,22.064533702660142
SSMC,hier.HierarchicalRockets$Builder,exec_43,10,22.325089861555025
SSMC,hier.HierarchicalRockets$Builder,exec_43,11,22.59181338378592
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,0,3.49358270275881
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,1,3.3803750496044698
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,2,4.908908887120678
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,3,5.03323592775862
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,4,5.516708918357767
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,5,5.58391797384529
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,6,5.638759361524331
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,7,5.850024195826181
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,8,5.981597465089832
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,9,5.93399062983833
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,10,6.000430691576298
SSMC,blang.validation.internals.fixtures.Ising$Builder,exec_22,11,6.01013022504917
PT-20,demos.UnidentifiableProduct$Builder,exec_35,0,3.556715171595685
PT-20,demos.UnidentifiableProduct$Builder,exec_35,1,2.726346464670915
PT-20,demos.UnidentifiableProduct$Builder,exec_35,2,3.5699112887759963
PT-20,demos.UnidentifiableProduct$Builder,exec_35,3,3.7787513448102596
PT-20,demos.UnidentifiableProduct$Builder,exec_35,4,3.6194954358162694
PT-20,demos.UnidentifiableProduct$Builder,exec_35,5,3.503410723375206
PT-20,demos.UnidentifiableProduct$Builder,exec_35,6,3.665998213844168
PT-20,demos.UnidentifiableProduct$Builder,exec_35,7,3.5938537299617144
PT-20,demos.UnidentifiableProduct$Builder,exec_35,8,3.6335105681627424
PT-20,demos.UnidentifiableProduct$Builder,exec_35,9,3.6217395153993626
PT-20,demos.UnidentifiableProduct$Builder,exec_35,10,3.630617851002222
PT-10,demos.XY$Builder,exec_19,0,2.2550063518048953
PT-10,demos.XY$Builder,exec_19,1,2.5689046585106237
PT-10,demos.XY$Builder,exec_19,2,3.036565908695631
PT-10,demos.XY$Builder,exec_19,3,3.2468380237061716
PT-10,demos.XY$Builder,exec_19,4,3.2006991232257076
PT-10,demos.XY$Builder,exec_19,5,2.9799175514230214
PT-10,demos.XY$Builder,exec_19,6,3.155977519257675
PT-10,demos.XY$Builder,exec_19,7,3.022723947799264
PT-10,demos.XY$Builder,exec_19,8,3.2393295333041072
PT-10,demos.XY$Builder,exec_19,9,3.1814730611164728
PT-10,demos.XY$Builder,exec_19,10,3.207020206142993
PT-10,demos.XY$Builder,exec_19,11,3.153780982087037
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,0,2.21948540301042
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,1,4.473889819123749
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,2,4.674135847486548
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,3,5.591072691084205
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,4,6.30959818807546
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,5,6.7346734322839215
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,6,6.415020037826595
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,7,6.742784866764495
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,8,7.065386304957793
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,9,7.037019541935335
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,10,7.117918933281383
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_9,11,7.008625171142779
SSMC,demos.XY$Builder,exec_18,0,4.022815186596259
SSMC,demos.XY$Builder,exec_18,1,3.849625875990495
SSMC,demos.XY$Builder,exec_18,2,4.802218118827476
SSMC,demos.XY$Builder,exec_18,3,5.492011969591616
SSMC,demos.XY$Builder,exec_18,4,5.696064960123807
SSMC,demos.XY$Builder,exec_18,5,5.381326344188575
SSMC,demos.XY$Builder,exec_18,6,5.830936807016811
SSMC,demos.XY$Builder,exec_18,7,5.873619327926177
SSMC,demos.XY$Builder,exec_18,8,5.783790521503943
SSMC,demos.XY$Builder,exec_18,9,5.802854789176855
SSMC,demos.XY$Builder,exec_18,10,5.803565816200024
SSMC,demos.XY$Builder,exec_18,11,5.84678118075346
SAIS,demos.AnnealedMVN$Builder,exec_1,0,1.6413458551165356
SAIS,demos.AnnealedMVN$Builder,exec_1,1,2.0900397732759113
SAIS,demos.AnnealedMVN$Builder,exec_1,2,2.42147757040357
SAIS,demos.AnnealedMVN$Builder,exec_1,3,2.395977115974896
SAIS,demos.AnnealedMVN$Builder,exec_1,4,2.421555348444197
SAIS,demos.AnnealedMVN$Builder,exec_1,5,2.406950261360395
SAIS,demos.AnnealedMVN$Builder,exec_1,6,2.4906803316465047
SAIS,demos.AnnealedMVN$Builder,exec_1,7,2.4981281839747727
SAIS,demos.AnnealedMVN$Builder,exec_1,8,2.464148180365851
SAIS,demos.AnnealedMVN$Builder,exec_1,9,2.4871762771082313
SAIS,demos.AnnealedMVN$Builder,exec_1,10,2.538418215673696
SAIS,demos.AnnealedMVN$Builder,exec_1,11,2.5291339625990856
PT-10,blang.validation.internals.fixtures.Diffusion$Builder,exec_25,0,2.6876808274661217
PT-10,blang.validation.internals.fixtures.Diffusion$Builder,exec_25,1,3.734812153306156
PT-10,blang.validation.internals.fixtures.Diffusion$Builder,exec_25,2,3.432891839655159
PT-10,blang.validation.internals.fixtures.Diffusion$Builder,exec_25,3,3.4712029537100233
PT-10,blang.validation.internals.fixtures.Diffusion$Builder,exec_25,4,3.1798630086201687
PT-10,blang.validation.internals.fixtures.Diffusion$Builder,exec_25,5,3.398618668170499
PT-10,blang.validation.internals.fixtures.Diffusion$Builder,exec_25,6,3.379522713224421
PT-10,blang.validation.internals.fixtures.Diffusion$Builder,exec_25,7,3.3124633884550687
