method,model,execFolder,round,isAdapt,beta,value
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.67,2.461971569884133
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.68,2.5053034181074754
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.69,2.548453508974129
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.7,2.5913759320983902
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.71,2.6340247770945524
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.72,2.676354133576911
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.73,2.718318091159759
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.74,2.7598707394573903
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.75,2.8009661680841007
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.76,2.841558466654183
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.77,2.881601724781932
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.78,2.9210500320816424
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.79,2.959857478167609
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.8,2.9979781526541243
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.81,3.035324190450573
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.82,3.0718809946648533
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.83,3.1077125572090334
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.84,3.142882869995179
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.85,3.177455924935362
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.86,3.211495713941646
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.87,3.245066228926101
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.88,3.2782314618007944
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.89,3.311055404477794
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.9,3.3436020488691653
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.91,3.375935386886978
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.92,3.4081194104433004
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.93,3.440218111450198
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.94,3.4722954818197405
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.95,3.504415513463994
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.96,3.536642198295028
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.97,3.569039528224909
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.98,3.601671495165704
SSMC,ode.MRNATransfection$Builder,exec_20,0,true,0.99,3.634602091029483
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.01,1.2341366921769121
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.02,1.4420275292393105
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.03,1.4420284402891141
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.04,1.4420291513185894
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.05,1.4420296880153993
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.06,1.4420300760672062
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.07,1.4420303411616726
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.08,1.442030508986461
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.09,1.442030605229234
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.1,1.4420306555776545
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.11,1.4420306857193848
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.12,1.4428308815324762
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.13,1.446489216474943
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.14,1.4529962332888642
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.15,1.4622272974765997
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.16,1.4740577745405112
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.17,1.4883630299829587
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.18,1.5050184293063031
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.19,1.5238993380129056
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.2,1.5448811216051264
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.21,1.567839145585326
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.22,1.592648775455867
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.23,1.6191853767191073
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.24,1.64732431487741
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.25,1.6769409554331354
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.26,1.707910663888643
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.27,1.740108805746295
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.28,1.7734107465084512
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.29,1.8076918516774727
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.3,1.8428274867557208
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.31,1.8786930172455558
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.32,1.9151638086493379
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.33,1.952115226469429
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.34,1.9894226362081886
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.35,2.026961403367979
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.36,2.0646068934511597
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.37,2.1022344719600916
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.38,2.1397195043971355
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.39,2.176937356264653
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.4,2.2137633930650042
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.41,2.2500729803005495
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.42,2.2857414834736502
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.43,2.3206442680866672
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.44,2.3546566996419602
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.45,2.387654143641891
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.46,2.419511965588821
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.47,2.450105530985109
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.48,2.479310205333117
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.49,2.5070013541352063
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.5,2.533054342893736
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.51,2.557344537111068
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.52,2.5797473022895634
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.53,2.600138003931582
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.54,2.618392007539484
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.55,2.633310156680983
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.56,2.6426848741534896
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.57,2.6479487953700405
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.58,2.6507259134106023
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.59,2.652640221355145
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.6,2.655315643264744
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.61,2.6585267000317616
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.62,2.661074366571239
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.63,2.663060103764011
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.64,2.6645853724909117
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.65,2.6657516336327753
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.66,2.6666603480704376
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.67,2.6674129766847328
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.68,2.6681109803564955
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.69,2.66881157713136
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.7,2.6694141518198538
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.71,2.6699998407414567
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.72,2.670675500298676
