method,model,execFolder,round,isAdapt,nExplorationSteps,value
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,1,true,1728.0,31
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,2,true,3888.0,55
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,3,true,7803.0,68
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,4,true,16875.0,77
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,5,true,34992.0,121
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,6,true,70227.0,176
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,7,true,143883.0,188
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,8,true,292032.0,203
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,9,true,591408.0,293
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,10,true,1190700.0,428
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,11,true,2381643.0,586
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,12,true,4785507.0,941
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,13,true,9590832.0,2214
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_6,14,false,1.9187523E7,3496
PT-10,demos.PhylogeneticTree$Builder,exec_34,0,true,360,246
PT-10,demos.PhylogeneticTree$Builder,exec_34,1,true,600,157
PT-10,demos.PhylogeneticTree$Builder,exec_34,2,true,1200,265
PT-10,demos.PhylogeneticTree$Builder,exec_34,3,true,2400,537
PT-10,demos.PhylogeneticTree$Builder,exec_34,4,true,4800,738
PT-10,demos.PhylogeneticTree$Builder,exec_34,5,true,9600,1193
PT-10,demos.PhylogeneticTree$Builder,exec_34,6,true,19200,2195
PT-10,demos.PhylogeneticTree$Builder,exec_34,7,true,38400,3969
PT-10,demos.PhylogeneticTree$Builder,exec_34,8,true,76800,7646
PT-10,demos.PhylogeneticTree$Builder,exec_34,9,true,153600,14797
PT-10,demos.PhylogeneticTree$Builder,exec_34,10,true,307200,29870
PT-10,demos.PhylogeneticTree$Builder,exec_34,11,true,614400,43810
PT-10,demos.PhylogeneticTree$Builder,exec_34,12,true,1228920,73839
PT-10,demos.PhylogeneticTree$Builder,exec_34,13,true,2457720,148545
PT-10,demos.PhylogeneticTree$Builder,exec_34,14,false,4915200,296722
SAIS,demos.ToyMix$Builder,exec_8,0,true,75.0,109
SAIS,demos.ToyMix$Builder,exec_8,1,true,192.0,31
SAIS,demos.ToyMix$Builder,exec_8,2,true,432.0,35
